#node,Magenta Annotation
ABCF2,ATP binding cassette subfamily F member 2
LMNB1,"Lamin-B1; Lamins are components of the nuclear lamina, a fibrous layer on the nucleoplasmic side of the inner nuclear membrane, which is thought to provide a framework for the nuclear envelope and may also interact with chromatin"
LMNB2,"Lamin-B2; Lamins are components of the nuclear lamina, a fibrous layer on the nucleoplasmic side of the inner nuclear membrane, which is thought to provide a framework for the nuclear envelope and may also interact with chromatin; Belongs to the intermediate filament family"
LPCAT1,"Lysophosphatidylcholine acyltransferase 1; Possesses both acyltransferase and acetyltransferase activities. Activity is calcium-independent (By similarity). Mediates the conversion of 1- acyl-sn-glycero-3-phosphocholine (LPC) into phosphatidylcholine (PC). Displays a clear preference for saturated fatty acyl-CoAs, and 1-myristoyl or 1-palmitoyl LPC as acyl donors and acceptors, respectively. May synthesize phosphatidylcholine in pulmonary surfactant, thereby playing a pivotal role in respiratory physiology. Involved in the regulation of lipid droplet number and size"
LRR1,Leucine-rich repeat protein 1; May negatively regulate the 4-1BB-mediated signaling cascades which result in the activation of NK-kappaB and JNK1. Probable substrate recognition subunit of an ECS (Elongin BC- CUL2/5-SOCS-box protein) E3 ubiquitin-protein ligase complex which mediates the ubiquitination and subsequent proteasomal degradation of target proteins; Cyclophilin peptidylprolyl isomerases
LRRC20,Leucine-rich repeat-containing protein 20; Leucine rich repeat containing 20
LSM14B,Protein LSM14 homolog B; May play a role in control of mRNA translation; LSm proteins
MAD2L1,Mitotic spindle assembly checkpoint protein MAD2A; Component of the spindle-assembly checkpoint that prevents the onset of anaphase until all chromosomes are properly aligned at the metaphase plate. Required for the execution of the mitotic checkpoint which monitors the process of kinetochore- spindle attachment and inhibits the activity of the anaphase promoting complex by sequestering CDC20 until all chromosomes are aligned at the metaphase plate
MAP4K4,Mitogen-activated protein kinase kinase kinase kinase 4; Serine/threonine kinase that may play a role in the response to environmental stress and cytokines such as TNF-alpha. Appears to act upstream of the JUN N-terminal pathway. Phosphorylates SMAD1 on Thr-322; Belongs to the protein kinase superfamily. STE Ser/Thr protein kinase family. STE20 subfamily
MAPK9,"Mitogen-activated protein kinase 9; Serine/threonine-protein kinase involved in various processes such as cell proliferation, differentiation, migration, transformation and programmed cell death. Extracellular stimuli such as proinflammatory cytokines or physical stress stimulate the stress-activated protein kinase/c-Jun N-terminal kinase (SAP/JNK) signaling pathway. In this cascade, two dual specificity kinases MAP2K4/MKK4 and MAP2K7/MKK7 phosphorylate and activate MAPK9/JNK2. In turn, MAPK9/JNK2 phosphorylates a number of transcription factors, primarily components of AP-1 such as JU [...] "
MCCC1,"Methylcrotonoyl-CoA carboxylase subunit alpha, mitochondrial; Biotin-attachment subunit of the 3-methylcrotonyl-CoA carboxylase, an enzyme that catalyzes the conversion of 3- methylcrotonyl-CoA to 3-methylglutaconyl-CoA, a critical step for leucine and isovaleric acid catabolism"
MCM10,"Protein MCM10 homolog; Acts as a replication initiation factor that brings together the MCM2-7 helicase and the DNA polymerase alpha/primase complex in order to initiate DNA replication. Additionally, plays a role in preventing DNA damage during replication. Key effector of the RBBP6 and ZBTB38-mediated regulation of DNA-replication and common fragile sites stability; acts as a direct target of transcriptional repression by ZBTB38; Belongs to the MCM10 family"
MCM2,"DNA replication licensing factor MCM2; Acts as component of the MCM2-7 complex (MCM complex) which is the putative replicative helicase essential for 'once per cell cycle' DNA replication initiation and elongation in eukaryotic cells. The active ATPase sites in the MCM2-7 ring are formed through the interaction surfaces of two neighboring subunits such that a critical structure of a conserved arginine finger motif is provided in trans relative to the ATP-binding site of the Walker A box of the adjacent subunit. The six ATPase active sites, however, are likely to contribute differential [...] "
MCM3,"DNA replication licensing factor MCM3; Acts as component of the MCM2-7 complex (MCM complex) which is the putative replicative helicase essential for 'once per cell cycle' DNA replication initiation and elongation in eukaryotic cells. The active ATPase sites in the MCM2-7 ring are formed through the interaction surfaces of two neighboring subunits such that a critical structure of a conserved arginine finger motif is provided in trans relative to the ATP-binding site of the Walker A box of the adjacent subunit. The six ATPase active sites, however, are likely to contribute differential [...] "
MCM4,"DNA replication licensing factor MCM4; Acts as component of the MCM2-7 complex (MCM complex) which is the putative replicative helicase essential for 'once per cell cycle' DNA replication initiation and elongation in eukaryotic cells. The active ATPase sites in the MCM2-7 ring are formed through the interaction surfaces of two neighboring subunits such that a critical structure of a conserved arginine finger motif is provided in trans relative to the ATP-binding site of the Walker A box of the adjacent subunit. The six ATPase active sites, however, are likely to contribute differential [...] "
MCM5,"DNA replication licensing factor MCM5; Acts as component of the MCM2-7 complex (MCM complex) which is the putative replicative helicase essential for 'once per cell cycle' DNA replication initiation and elongation in eukaryotic cells. The active ATPase sites in the MCM2-7 ring are formed through the interaction surfaces of two neighboring subunits such that a critical structure of a conserved arginine finger motif is provided in trans relative to the ATP-binding site of the Walker A box of the adjacent subunit. The six ATPase active sites, however, are likely to contribute differential [...] "
MDH2,"Malate dehydrogenase, mitochondrial; Malate dehydrogenase 2"
MELK,"Maternal embryonic leucine zipper kinase; Serine/threonine-protein kinase involved in various processes such as cell cycle regulation, self-renewal of stem cells, apoptosis and splicing regulation. Has a broad substrate specificity; phosphorylates BCL2L14, CDC25B, MAP3K5/ASK1 and ZNF622. Acts as an activator of apoptosis by phosphorylating and activating MAP3K5/ASK1. Acts as a regulator of cell cycle, notably by mediating phosphorylation of CDC25B, promoting localization of CDC25B to the centrosome and the spindle poles during mitosis. Plays a key role in cell proliferation and carcino [...] "
MEMO1,"Protein MEMO1; May control cell migration by relaying extracellular chemotactic signals to the microtubule cytoskeleton. Mediator of ERBB2 signaling. The MEMO1-RHOA-DIAPH1 signaling pathway plays an important role in ERBB2-dependent stabilization of microtubules at the cell cortex. It controls the localization of APC and CLASP2 to the cell membrane, via the regulation of GSK3B activity. In turn, membrane-bound APC allows the localization of the MACF1 to the cell membrane, which is required for microtubule capture and stabilization. Is required for breast carcinoma cell migration"
METTL6,Methyltransferase-like protein 6; Probable methyltransferase
MGAT4B,"Alpha-1,3-mannosyl-glycoprotein 4-beta-N-acetylglucosaminyltransferase B; Glycosyltransferase that participates in the transfer of N-acetylglucosamine (GlcNAc) to the core mannose residues of N- linked glycans. Catalyzes the formation of the GlcNAcbeta1-4 branch on the GlcNAcbeta1-2Manalpha1-3 arm of the core structure of N-linked glycans. Essential for the production of tri- and tetra-antennary N-linked sugar chains. Has lower affinities for donors or acceptors than MGAT4A, suggesting that, under physiological conditions, it is not the main contributor in N- glycan biosynthesis"
MINA,"Ribosomal oxygenase 2; Oxygenase that can act as both a histone lysine demethylase and a ribosomal histidine hydroxylase. Is involved in the demethylation of trimethylated 'Lys-9' on histone H3 (H3K9me3), leading to an increase in ribosomal RNA expression. Also catalyzes the hydroxylation of 60S ribosomal protein L27a on 'His-39'. May play an important role in cell growth and survival. May be involved in ribosome biogenesis, most likely during the assembly process of pre-ribosomal particles; Belongs to the ROX family. MINA53 subfamily"
MIS18A,Protein Mis18-alpha; Required for recruitment of CENPA to centromeres and normal chromosome segregation during mitosis
MKI67,"Proliferation marker protein Ki-67; Required to maintain individual mitotic chromosomes dispersed in the cytoplasm following nuclear envelope disassembly. Associates with the surface of the mitotic chromosome, the perichromosomal layer, and covers a substantial fraction of the chromosome surface. Prevents chromosomes from collapsing into a single chromatin mass by forming a steric and electrostatic charge barrier: the protein has a high net electrical charge and acts as a surfactant, dispersing chromosomes and enabling independent chromosome motility. Binds DNA, with a preference for s [...] "
MKRN1,"E3 ubiquitin-protein ligase makorin-1; E3 ubiquitin ligase catalyzing the covalent attachment of ubiquitin moieties onto substrate proteins. These substrates include FILIP1, p53/TP53, CDKN1A and TERT. Keeps cells alive by suppressing p53/TP53 under normal conditions, but stimulates apoptosis by repressing CDKN1A under stress conditions. Acts as a negative regulator of telomerase. Has negative and positive effects on RNA polymerase II-dependent transcription; Ring finger proteins"
MMP11,Stromelysin-3; May play an important role in the progression of epithelial malignancies; M10 matrix metallopeptidases
MND1,"Meiotic nuclear division protein 1 homolog; Required for proper homologous chromosome pairing and efficient cross-over and intragenic recombination during meiosis (By similarity). Stimulates both DMC1- and RAD51-mediated homologous strand assimilation, which is required for the resolution of meiotic double-strand breaks"
MNS1,Meiosis-specific nuclear structural protein 1; May play a role in the control of meiotic division and germ cell differentiation through regulation of pairing and recombination during meiosis
MORF4L2,"Mortality factor 4-like protein 2; Component of the NuA4 histone acetyltransferase complex which is involved in transcriptional activation of select genes principally by acetylation of nucleosomal histone H4 and H2A. This modification may both alter nucleosome - DNA interactions and promote interaction of the modified histones with other proteins which positively regulate transcription. This complex may be required for the activation of transcriptional programs associated with oncogene and proto-oncogene mediated growth induction, tumor suppressor mediated growth arrest and replicative [...] "
MPP6,MAGUK p55 subfamily member 6; Membrane associated guanylate kinases; Belongs to the MAGUK family
MRPL13,Mitochondrial ribosomal protein L13; Belongs to the universal ribosomal protein uL13 family
MRPL15,Mitochondrial ribosomal protein L15
MRPL3,Mitochondrial ribosomal protein L3
MRPL30,Mitochondrial ribosomal protein L30
MRPL42,Mitochondrial ribosomal protein L42; Belongs to the mitochondrion-specific ribosomal protein mL42 family
MRPL44,"39S ribosomal protein L44, mitochondrial; Component of the 39S subunit of mitochondrial ribosome. May have a function in the assembly/stability of nascent mitochondrial polypeptides exiting the ribosome; Mitochondrial ribosomal proteins"
MRPL50,Mitochondrial ribosomal protein L50
MRPS14,Mitochondrial ribosomal protein S14; Belongs to the universal ribosomal protein uS14 family
MRPS22,Mitochondrial ribosomal protein S22; Belongs to the mitochondrion-specific ribosomal protein mS22 family
MRPS30,Mitochondrial ribosomal protein S30
MRPS35,Mitochondrial ribosomal protein S35
MSL1,"Male-specific lethal 1 homolog; Component of histone acetyltransferase complex responsible for the majority of histone H4 acetylation at 'Lys-16' (H4K16ac) which is implicated in the formation of higher-order chromatin structure. Greatly enhances MSL2 E3 ubiquitin ligase activity, promoting monoubiquitination of histone H2B at 'Lys-34' (H2BK34Ub). This modification in turn stimulates histone H3 methylation at 'Lys-4' (H3K4me) and 'Lys-79' (H3K79me) and leads to gene activation, including that of HOXA9 and MEIS1. In the MSL complex, acts as a scaffold to tether MSL3 and KAT8 together fo [...] "
MSL3,Male-specific lethal 3 homolog; May be involved in chromatin remodeling and transcriptional regulation. May have a role in X inactivation. Component of the MSL complex which is responsible for the majority of histone H4 acetylation at 'Lys-16' which is implicated in the formation of higher-order chromatin structure. Specifically recognizes histone H4 monomethylated at 'Lys-20' (H4K20Me1) in a DNA-dependent manner and is proposed to be involved in chromosomal targeting of the MSL complex
MTBP,"Mdm2-binding protein; Inhibits cell migration in vitro and suppresses the invasive behavior of tumor cells (By similarity). May play a role in MDM2-dependent p53/TP53 homeostasis in unstressed cells. Inhibits autoubiquitination of MDM2, thereby enhancing MDM2 stability. This promotes MDM2-mediated ubiquitination of p53/TP53 and its subsequent degradation"
MTCH2,Mitochondrial carrier homolog 2; The substrate transported is not yet known. Induces mitochondrial depolarization; Solute carriers
MTERF1,"Transcription termination factor 1, mitochondrial; Transcription termination factor. Binds to a 28 bp region within the tRNA(Leu(uur)) gene at a position immediately adjacent to and downstream of the 16S rRNA gene; this region comprises a tridecamer sequence critical for directing accurate termination. Binds DNA along the major grove and promotes DNA bending and partial unwinding. Promotes base flipping. Transcription termination activity appears to be polarized with highest specificity for transcripts initiated on the light strand; Belongs to the mTERF family"
MTERF3,"Transcription termination factor 3, mitochondrial; Binds promoter DNA and regulates initiation of transcription. Required for normal mitochondrial transcription and translation, and for normal assembly of mitochondrial respiratory complexes. Required for normal mitochondrial function (By similarity). Maintains 16S rRNA levels and functions in mitochondrial ribosome assembly by regulating the biogenesis of the 39S ribosomal subunit (By similarity); Belongs to the mTERF family"
MTFR1,Mitochondrial fission regulator 1; May play a role in mitochondrial aerobic respiration. May also regulate mitochondrial organization and fission (By similarity)
MTFR2,Mitochondrial fission regulator 2; May play a role in mitochondrial aerobic respiration essentially in the testis. Can also promote mitochondrial fission (By similarity); Belongs to the MTFR1 family
MTHFD1L,"Monofunctional C1-tetrahydrofolate synthase, mitochondrial; May provide the missing metabolic reaction required to link the mitochondria and the cytoplasm in the mammalian model of one-carbon folate metabolism in embryonic an transformed cells complementing thus the enzymatic activities of MTHFD2; In the N-terminal section; belongs to the tetrahydrofolate dehydrogenase/cyclohydrolase family"
MTL5,Tesmin; May have a role in spermatogenesis; Belongs to the lin-54 family
MYBL2,"Myb-related protein B; Transcription factor involved in the regulation of cell survival, proliferation, and differentiation. Transactivates the expression of the CLU gene; Myb/SANT domain containing"
MYO19,Unconventional myosin-XIX; Actin-based motor molecule with ATPase activity that localizes to the mitochondrion outer membrane. Motor protein that moves towards the plus-end of actin filaments (By similarity). Required for mitochondrial inheritance during mitosis. May be involved in mitochondrial transport or positioning; Belongs to the TRAFAC class myosin-kinesin ATPase superfamily. Myosin family
NARS2,"Probable asparagine--tRNA ligase, mitochondrial; asparaginyl-tRNA synthetase 2, mitochondrial; Belongs to the class-II aminoacyl-tRNA synthetase family"
NCAPG,"Condensin complex subunit 3; Regulatory subunit of the condensin complex, a complex required for conversion of interphase chromatin into mitotic-like condense chromosomes. The condensin complex probably introduces positive supercoils into relaxed DNA in the presence of type I topoisomerases and converts nicked DNA into positive knotted forms in the presence of type II topoisomerases; Armadillo-like helical domain containing"
NCAPG2,"Condensin-2 complex subunit G2; Regulatory subunit of the condensin-2 complex, a complex which establishes mitotic chromosome architecture and is involved in physical rigidity of the chromatid axis; Armadillo-like helical domain containing"
NCAPH,"Condensin complex subunit 2; Regulatory subunit of the condensin complex, a complex required for conversion of interphase chromatin into mitotic-like condense chromosomes. The condensin complex probably introduces positive supercoils into relaxed DNA in the presence of type I topoisomerases and converts nicked DNA into positive knotted forms in the presence of type II topoisomerases"
NCBP2,"Nuclear cap-binding protein subunit 2; Component of the cap-binding complex (CBC), which binds co-transcriptionally to the 5' cap of pre-mRNAs and is involved in various processes such as pre-mRNA splicing, translation regulation, nonsense-mediated mRNA decay, RNA-mediated gene silencing (RNAi) by microRNAs (miRNAs) and mRNA export. The CBC complex is involved in mRNA export from the nucleus via its interaction with ALYREF/THOC4/ALY, leading to the recruitment of the mRNA export machinery to the 5' end of mRNA and to mRNA export in a 5' to 3' direction through the nuclear pore. The CBC [...] "
NCL,Nucleolin; Nucleolin is the major nucleolar protein of growing eukaryotic cells. It is found associated with intranucleolar chromatin and pre-ribosomal particles. It induces chromatin decondensation by binding to histone H1. It is thought to play a role in pre-rRNA transcription and ribosome assembly. May play a role in the process of transcriptional elongation. Binds RNA oligonucleotides with 5'-UUAGGG-3' repeats more tightly than the telomeric single-stranded DNA 5'-TTAGGG-3' repeats
NDC80,"Kinetochore protein NDC80 homolog; Acts as a component of the essential kinetochore- associated NDC80 complex, which is required for chromosome segregation and spindle checkpoint activity. Required for kinetochore integrity and the organization of stable microtubule binding sites in the outer plate of the kinetochore. The NDC80 complex synergistically enhances the affinity of the SKA1 complex for microtubules and may allow the NDC80 complex to track depolymerizing microtubules. Plays a role in chromosome congression and is essential for the end-on attachment of the kinetochores to spin [...] "
NDUFAF6,"NADH dehydrogenase (ubiquinone) complex I, assembly factor 6; Involved in the assembly of mitochondrial NADH:ubiquinone oxidoreductase complex (complex I) at early stages. May play a role in the biogenesis of MT-ND1"
NEIL3,"Endonuclease 8-like 3; DNA glycosylase which prefers single-stranded DNA (ssDNA), or partially ssDNA structures such as bubble and fork structures, to double-stranded DNA (dsDNA). In vitro, displays strong glycosylase activity towards the hydantoin lesions spiroiminodihydantoin (Sp) and guanidinohydantoin (Gh) in both ssDNA and dsDNA; also recognizes FapyA, FapyG, 5-OHU, 5-OHC, 5- OHMH, Tg and 8-oxoA lesions in ssDNA. No activity on 8-oxoG detected. Also shows weak DNA-(apurinic or apyrimidinic site) lyase activity. In vivo, appears to be the primary enzyme involved in removing Sp and  [...] "
NEK11,Serine/threonine-protein kinase Nek11; Protein kinase which plays an important role in the G2/M checkpoint response to DNA damage. Controls degradation of CDC25A by directly phosphorylating it on residues whose phosphorylation is required for BTRC-mediated polyubiquitination and degradation
NEK2,"Serine/threonine-protein kinase Nek2; Protein kinase which is involved in the control of centrosome separation and bipolar spindle formation in mitotic cells and chromatin condensation in meiotic cells. Regulates centrosome separation (essential for the formation of bipolar spindles and high-fidelity chromosome separation) by phosphorylating centrosomal proteins such as CROCC, CEP250 and NINL, resulting in their displacement from the centrosomes. Regulates kinetochore microtubule attachment stability in mitosis via phosphorylation of NDC80. Involved in regulation of mitotic checkpoint  [...] "
NHSL1,NHS-like protein 1; NHS like 1; Belongs to the NHS family
NIPSNAP1,Nipsnap homolog 1
NMU,"Neuromedin-U; Stimulates muscle contractions of specific regions of the gastrointestinal tract. In humans, NmU stimulates contractions of the ileum and urinary bladder; Belongs to the NmU family"
NOA1,Nitric oxide-associated protein 1; Involved in regulation of mitochondrial protein translation and respiration. Plays a role in mitochondria-mediated cell death. May act as a scaffolding protein or stabilizer of respiratory chain supercomplexes. Binds GTP; Belongs to the TRAFAC class YlqF/YawG GTPase family. NOA1 subfamily
NONO,"Non-POU domain-containing octamer-binding protein; DNA- and RNA binding protein, involved in several nuclear processes. Binds the conventional octamer sequence in double-stranded DNA. Also binds single-stranded DNA and RNA at a site independent of the duplex site. Involved in pre-mRNA splicing, probably as a heterodimer with SFPQ. Interacts with U5 snRNA, probably by binding to a purine-rich sequence located on the 3' side of U5 snRNA stem 1b. Together with PSPC1, required for the formation of nuclear paraspeckles. The SFPQ-NONO heteromer associated with MATR3 may play a role in nuclea [...] "
NOP14,Nucleolar protein 14; Involved in nucleolar processing of pre-18S ribosomal RNA. Has a role in the nuclear export of 40S pre-ribosomal subunit to the cytoplasm (By similarity); Belongs to the NOP14 family
NRD1,Nardilysin; Cleaves peptide substrates on the N-terminus of arginine residues in dibasic pairs; Belongs to the peptidase M16 family
NSUN2,"tRNA (cytosine(34)-C(5))-methyltransferase; RNA methyltransferase that methylates tRNAs, and possibly RNA polymerase III transcripts. Methylates cytosine to 5- methylcytosine (m5C) at positions 34 and 48 of intron-containing tRNA(Leu)(CAA) precursors, and at positions 48, 49 and 50 of tRNA(Gly)(GCC) precursors. May act downstream of Myc to regulate epidermal cell growth and proliferation. Required for proper spindle assembly and chromosome segregation, independently of its methyltransferase activity"
NT5C3A,Cytosolic 5'-nucleotidase 3A; Nucleotidase which shows specific activity towards cytidine monophosphate (CMP) and 7-methylguanosine monophosphate (m(7)GMP). CMP seems to be the preferred substrate; Belongs to the pyrimidine 5'-nucleotidase family
NUDCD1,NudC domain containing 1
NUDT19,"Nucleoside diphosphate-linked moiety X motif 19; Coenzyme A diphosphatase that mediates the hydrolysis of a wide range of CoA esters, including choloyl-CoA and branched- chain fatty-acyl-CoA esters. At low substrate concentrations medium and long-chain fatty-acyl-CoA esters are the primary substrates (By similarity); Nudix hydrolase family"
NUF2,"Kinetochore protein Nuf2; Acts as a component of the essential kinetochore- associated NDC80 complex, which is required for chromosome segregation and spindle checkpoint activity. Required for kinetochore integrity and the organization of stable microtubule binding sites in the outer plate of the kinetochore. The NDC80 complex synergistically enhances the affinity of the SKA1 complex for microtubules and may allow the NDC80 complex to track depolymerizing microtubules"
NUP107,Nuclear pore complex protein Nup107; Plays a role in the nuclear pore complex (NPC) assembly and/or maintenance. Required for the assembly of peripheral proteins into the NPC. May anchor NUP62 to the NPC; Belongs to the nucleoporin Nup84/Nup107 family
NUP37,"Nucleoporin Nup37; Component of the Nup107-160 subcomplex of the nuclear pore complex (NPC). The Nup107-160 subcomplex is required for the assembly of a functional NPC. The Nup107-160 subcomplex is also required for normal kinetochore microtubule attachment, mitotic progression and chromosome segregation; Nucleoporins"
NUP62CL,Nucleoporin-62 C-terminal-like protein; Nucleoporin 62 C-terminal like; Belongs to the nucleoporin NSP1/NUP62 family
NUPL2,"Nucleoporin-like protein 2; Required for the export of mRNAs containing poly(A) tails from the nucleus into the cytoplasm. In case of infection by HIV-1, it may participate in the docking of viral Vpr at the nuclear envelope"
NUSAP1,Nucleolar and spindle-associated protein 1; Microtubule-associated protein with the capacity to bundle and stabilize microtubules (By similarity). May associate with chromosomes and promote the organization of mitotic spindle microtubules around them; Belongs to the NUSAP family
NVL,Nuclear valosin-containing protein-like; Participates in the assembly of the telomerase holoenzyme and effecting of telomerase activity via its interaction with TERT. May play a role in 60S ribosomal subunit biogenesis; Belongs to the AAA ATPase family
OIP5,Protein Mis18-beta; Required for recruitment of CENPA to centromeres and normal chromosome segregation during mitosis; Belongs to the mis18 family
ORC1,Origin recognition complex subunit 1; Component of the origin recognition complex (ORC) that binds origins of replication. DNA-binding is ATP-dependent. The DNA sequences that define origins of replication have not been identified yet. ORC is required to assemble the pre-replication complex necessary to initiate DNA replication; Belongs to the ORC1 family
ORC5,Origin recognition complex subunit 5; Component of the origin recognition complex (ORC) that binds origins of replication. DNA-binding is ATP-dependent. The specific DNA sequences that define origins of replication have not been identified yet. ORC is required to assemble the pre- replication complex necessary to initiate DNA replication; Belongs to the ORC5 family
ORC6,"Origin recognition complex subunit 6; Component of the origin recognition complex (ORC) that binds origins of replication. DNA-binding is ATP-dependent. The specific DNA sequences that define origins of replication have not been identified yet. ORC is required to assemble the pre- replication complex necessary to initiate DNA replication. Does not bind histone H3 and H4 trimethylation marks H3K9me3, H3K27me3 and H4K20me3"
OSGEPL1,"Probable tRNA N6-adenosine threonylcarbamoyltransferase, mitochondrial; Required for the formation of a threonylcarbamoyl group on adenosine at position 37 (t(6)A37) in mitochondrial tRNAs that read codons beginning with adenine. Probably involved in the transfer of the threonylcarbamoyl moiety of threonylcarbamoyl-AMP (TC-AMP) to the N6 group of A37. Involved in mitochondrial genome maintenance"
OSGIN2,Oxidative stress-induced growth inhibitor 2; May be involved in meiosis or the maturation of germ cells
OTUD6B,OTU domain containing 6B
PABPC1,"Polyadenylate-binding protein 1; Binds the poly(A) tail of mRNA, including that of its own transcript. May be involved in cytoplasmic regulatory processes of mRNA metabolism such as pre-mRNA splicing. Its function in translational initiation regulation can either be enhanced by PAIP1 or repressed by PAIP2. Can probably bind to cytoplasmic RNA sequences other than poly(A) in vivo. Involved in translationally coupled mRNA turnover. Implicated with other RNA- binding proteins in the cytoplasmic deadenylation/translational and decay interplay of the FOS mRNA mediated by the major coding- r [...] "
PABPC3,Polyadenylate-binding protein 3; Binds the poly(A) tail of mRNA. May be involved in cytoplasmic regulatory processes of mRNA metabolism. Binds poly(A) with a slightly lower affinity as compared to PABPC1; RNA binding motif containing
PAICS,Multifunctional protein ADE2; Phosphoribosylaminoimidazole carboxylase and phosphoribosylaminoimidazolesuccinocarboxamide synthase; In the C-terminal section; belongs to the AIR carboxylase family. Class II subfamily
PARPBP,"PCNA-interacting partner; Required to suppress inappropriate homologous recombination, thereby playing a central role DNA repair and in the maintenance of genomic stability. Antagonizes homologous recombination by interfering with the formation of the RAD51-DNA homologous recombination structure. Binds single-strand DNA and poly(A) homopolymers. Positively regulate the poly(ADP- ribosyl)ation activity of PARP1; however such function may be indirect; Belongs to the PARI family"
PBK,"Lymphokine-activated killer T-cell-originated protein kinase; Phosphorylates MAP kinase p38. Seems to be active only in mitosis. May also play a role in the activation of lymphoid cells. When phosphorylated, forms a complex with TP53, leading to TP53 destabilization and attenuation of G2/M checkpoint during doxorubicin-induced DNA damage; Belongs to the protein kinase superfamily. STE Ser/Thr protein kinase family. MAP kinase kinase subfamily"
PCCB,propionyl-CoA carboxylase beta subunit
PCNA,"Proliferating cell nuclear antigen; Auxiliary protein of DNA polymerase delta and is involved in the control of eukaryotic DNA replication by increasing the polymerase's processibility during elongation of the leading strand. Induces a robust stimulatory effect on the 3'- 5' exonuclease and 3'-phosphodiesterase, but not apurinic- apyrimidinic (AP) endonuclease, APEX2 activities. Has to be loaded onto DNA in order to be able to stimulate APEX2. Plays a key role in DNA damage response (DDR) by being conveniently positioned at the replication fork to coordinate DNA replication with DNA re [...] "
PDHX,"Pyruvate dehydrogenase protein X component, mitochondrial; Required for anchoring dihydrolipoamide dehydrogenase (E3) to the dihydrolipoamide transacetylase (E2) core of the pyruvate dehydrogenase complexes of eukaryotes. This specific binding is essential for a functional PDH complex"
PGD,"6-phosphogluconate dehydrogenase, decarboxylating; Catalyzes the oxidative decarboxylation of 6- phosphogluconate to ribulose 5-phosphate and CO(2), with concomitant reduction of NADP to NADPH; Belongs to the 6-phosphogluconate dehydrogenase family"
PHF14,PHD finger protein 14
PIGW,"Phosphatidylinositol-glycan biosynthesis class W protein; Required for the transport of GPI-anchored proteins to the plasma membrane. Probable acetyltransferase, which acetylates the inositol ring of phosphatidylinositol during biosynthesis of GPI-anchor. Acetylation during GPI-anchor biosynthesis is not essential for the subsequent mannosylation and is usually removed soon after the attachment of GPIs to proteins (By similarity); Belongs to the PIGW family"
PKMYT1,"Membrane-associated tyrosine- and threonine-specific cdc2-inhibitory kinase; Acts as a negative regulator of entry into mitosis (G2 to M transition) by phosphorylation of the CDK1 kinase specifically when CDK1 is complexed to cyclins. Mediates phosphorylation of CDK1 predominantly on 'Thr-14'. Also involved in Golgi fragmentation. May be involved in phosphorylation of CDK1 on 'Tyr-15' to a lesser degree, however tyrosine kinase activity is unclear and may be indirect. May be a downstream target of Notch signaling pathway during eye development; Protein phosphatase 1 regulatory subunits"
PLK1,"Serine/threonine-protein kinase PLK1; Serine/threonine-protein kinase that performs several important functions throughout M phase of the cell cycle, including the regulation of centrosome maturation and spindle assembly, the removal of cohesins from chromosome arms, the inactivation of anaphase-promoting complex/cyclosome (APC/C) inhibitors, and the regulation of mitotic exit and cytokinesis. Polo-like kinase proteins acts by binding and phosphorylating proteins are that already phosphorylated on a specific motif recognized by the POLO box domains. Phosphorylates BORA, BUB1B/BUBR1, CC [...] "
PLK4,"Serine/threonine-protein kinase PLK4; Serine/threonine-protein kinase that plays a central role in centriole duplication. Able to trigger procentriole formation on the surface of the parental centriole cylinder, leading to the recruitment of centriole biogenesis proteins such as SASS6, CENPJ/CPAP, CCP110, CEP135 and gamma-tubulin. When overexpressed, it is able to induce centrosome amplification through the simultaneous generation of multiple procentrioles adjoining each parental centriole during S phase. Phosphorylates 'Ser-151' of FBXW5 during the G1/S transition, leading to inhibit  [...] "
PNPT1,"Polyribonucleotide nucleotidyltransferase 1, mitochondrial; RNA-binding protein implicated in numerous RNA metabolic processes. Catalyzes the phosphorolysis of single-stranded polyribonucleotides processively in the 3'-to-5' direction. Mitochondrial intermembrane factor with RNA-processing exoribonulease activity. Component of the mitochondrial degradosome (mtEXO) complex, that degrades 3' overhang double- stranded RNA with a 3'-to-5' directionality in an ATP-dependent manner. Required for correct processing and polyadenylation of mitochondrial mRNAs. Plays a role as a cytoplasmic RNA  [...] "
POC1A,"POC1 centriolar protein homolog A; Plays an important role in centriole assembly and/or stability and ciliogenesis. Involved in early steps of centriole duplication, as well as in the later steps of centriole length control. Acts in concert with POC1B to ensure centriole integrity and proper mitotic spindle formation; Belongs to the WD repeat POC1 family"
POLA2,DNA polymerase alpha subunit B; May play an essential role at the early stage of chromosomal DNA replication by coupling the polymerase alpha/primase complex to the cellular replication machinery
POLE2,DNA polymerase epsilon subunit 2; Participates in DNA repair and in chromosomal DNA replication
POLQ,"DNA polymerase theta; DNA polymerase that promotes microhomology-mediated end- joining (MMEJ), an alternative non-homologous end-joining (NHEJ) machinery triggered in response to double-strand breaks in DNA. MMEJ is an error-prone repair pathway that produces deletions of sequences from the strand being repaired and promotes genomic rearrangements, such as telomere fusions, some of them leading to cellular transformation. POLQ acts as an inhibitor of homology-recombination repair (HR) pathway by limiting RAD51 accumulation at resected ends. POLQ-mediated MMEJ may be required to promote [...] "
POP1,"Ribonucleases P/MRP protein subunit POP1; Component of ribonuclease P, a protein complex that generates mature tRNA molecules by cleaving their 5'-ends. Also a component of RNase MRP"
